Codename,Versionnumbers,Initial releasedate,APIlevel,Ref.
No codename,Old version, no longer supported: 1.0,September 23, 2008,1,[2]
Petit Four (only internally used),Old version, no longer supported: 1.1,February 9, 2009,2,[2]
Cupcake,Old version, no longer supported: 1.5,April 27, 2009,3,
Donut,Old version, no longer supported: 1.6,September 15, 2009,4,[3]
Eclair,Old version, no longer supported: 2.0 – 2.1,October 26, 2009,5 – 7,[4]
Froyo,Old version, no longer supported: 2.2 – 2.2.3,May 20, 2010,8,[5]
Gingerbread,Old version, no longer supported: 2.3 – 2.3.7,December 6, 2010,9 – 10,[6]
Honeycomb,Old version, no longer supported: 3.0 – 3.2.6,February 22, 2011,11 – 13,[7]
Ice Cream Sandwich,Old version, no longer supported: 4.0 – 4.0.4,October 18, 2011,14 – 15,[8]
Jelly Bean,Old version, no longer supported: 4.1 – 4.3.1,July 9, 2012,16 – 18,[9]
KitKat,Old version, no longer supported: 4.4 – 4.4.4,October 31, 2013,19 – 20,[10]
Lollipop,Old version, no longer supported: 5.0 – 5.1.1,November 12, 2014,21 – 22,[11]
Marshmallow,Old version, no longer supported: 6.0 – 6.0.1,October 5, 2015,23,[12]
Nougat,Old version, no longer supported: 7.0,August 22, 2016,24,[13]
Older version, yet still supported: 7.1.1 – 7.1.2,December 5, 2016,25,[14]
Oreo,Older version, yet still supported: 8.0 – 8.1,August 21, 2017,26 – 27,[15]
Pie,Older version, yet still supported: 9.0,August 6, 2018,28,[16]
Android 10,Current stable version: 10.0,September 3, 2019,29,[17]
Legend:Old versionOlder version, still supportedLatest versionLatest preview versionFuture release
